no	period	company	project_key	dc_name	contractor	owner	location	amount_bn	mw	mw2	x1	x2	공사명	발주처	계약일	완공예정일	기본도급액	완성공사액	계약잔액	단위
182	21Q3	삼성물산	이지스자산운용하남데이터센터	하남 데이터센터	삼성물산	이지스자산운용(현 맥쿼리인프라 보유)	경기도 하남시 풍산동	175	40	25	4.4	6.9	이지스자산운용 하남 데이터센터	(주) 우리은행	2021-09-01	2024-02-01	174,850	378	174,472	백만원
183	21Q4	삼성물산	이지스자산운용하남데이터센터	하남 데이터센터	삼성물산	이지스자산운용(현 맥쿼리인프라 보유)	경기도 하남시 풍산동	175	40	25	4.4	6.9	이지스자산운용 하남 데이터센터	(주) 우리은행	2021-09-01	2024-02-01	174,850	4,973	169,877	백만원
184	22Q1	삼성물산	이지스자산운용하남데이터센터	하남 데이터센터	삼성물산	이지스자산운용(현 맥쿼리인프라 보유)	경기도 하남시 풍산동	175	40	25	4.4	6.9	이지스자산운용 하남 데이터센터	(주) 우리은행	2021-09-01	2024-02-01	174,850	8,596	166,254	백만원
185	22Q2	삼성물산	이지스자산운용하남데이터센터	하남 데이터센터	삼성물산	이지스자산운용(현 맥쿼리인프라 보유)	경기도 하남시 풍산동	175	40	25	4.4	6.9	이지스자산운용 하남 데이터센터	㈜ 우리은행	2021-09-15	2024-02-14	174,850	12,240	162,610	백만원
186	22Q3	삼성물산	이지스자산운용하남데이터센터	하남 데이터센터	삼성물산	이지스자산운용(현 맥쿼리인프라 보유)	경기도 하남시 풍산동	175	40	25	4.4	6.9	이지스자산운용 하남 데이터센터	㈜ 우리은행	2021-09-15	2024-02-14	174,850	17,140	157,710	백만원
187	22Q4	삼성물산	이지스자산운용하남데이터센터	하남 데이터센터	삼성물산	이지스자산운용(현 맥쿼리인프라 보유)	경기도 하남시 풍산동	175	40	25	4.4	6.9	이지스자산운용 하남 데이터센터	㈜ 우리은행	2021-08-25	2023-11-28	174,850	26,071	148,779	백만원
188	17Q1	삼성물산	수원DC	#N/A	삼성물산	#N/A	#N/A	24	#N/A	#N/A	N/A	N/A	수원DC	삼성전자(주)	2016-01-01	2018-02-01	23,619	21,696	1,923	백만원
189	17Q1	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	130	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이㈜	2015-05-01	2017-04-01	129,792	127,946	1,846	백만원
190	17Q2	삼성물산	수원DC	#N/A	삼성물산	#N/A	#N/A	33	#N/A	#N/A	N/A	N/A	수원DC	삼성전자(주)	2016-01-01	2018-02-01	32,853	24,110	8,743	백만원
191	17Q2	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	160	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이㈜	2015-05-01	2017-12-01	160,271	153,194	7,077	백만원
192	17Q3	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	17	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2019-02-01	17,040	3,303	13,737	백만원
193	17Q3	삼성물산	수원DC	#N/A	삼성물산	#N/A	#N/A	38	#N/A	#N/A	N/A	N/A	수원DC	삼성전자(주)	2016-01-01	2018-02-01	37,609	29,409	8,200	백만원
194	17Q3	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	172	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이(주)	2015-05-01	2017-12-01	171,787	170,269	1,518	백만원
195	17Q4	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	17	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이㈜	2017-03-01	2019-02-01	17,040	7,075	9,965	백만원
196	17Q4	삼성물산	수원DC	#N/A	삼성물산	#N/A	#N/A	44	#N/A	#N/A	N/A	N/A	수원DC	삼성전자(주)	2016-01-01	2018-02-01	43,912	35,531	8,381	백만원
197	17Q4	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	178	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이㈜	2015-05-01	2017-12-01	177,504	175,072	2,432	백만원
198	18Q1	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	19	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2019-02-01	19,157	11,795	7,362	백만원
199	18Q1	삼성물산	수원DC	#N/A	삼성물산	#N/A	#N/A	44	#N/A	#N/A	N/A	N/A	수원DC	삼성전자(주)	2016-01-01	2018-05-01	43,912	40,004	3,908	백만원
200	18Q1	삼성물산	수원DC2차	#N/A	삼성물산	#N/A	#N/A	4	#N/A	#N/A	N/A	N/A	수원 DC 2차	삼성전자(주)	2018-01-01	2019-12-01	4,159	805	3,354	백만원
201	18Q1	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	181	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이(주)	2015-05-01	2017-12-01	180,637	179,499	1,138	백만원
202	18Q2	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	56	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이㈜	2017-03-01	2019-02-01	55,697	26,861	28,836	백만원
203	18Q2	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	194	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이㈜	2015-05-01	2017-12-01	194,096	185,885	8,211	백만원
204	18Q2	삼성물산	수원DC2차	#N/A	삼성물산	#N/A	#N/A	9	#N/A	#N/A	N/A	N/A	수원 DC 2차	삼성전자(주)	2018-01-01	2019-12-01	9,352	3,174	6,178	백만원
205	18Q3	삼성물산	수원DC2차	#N/A	삼성물산	#N/A	#N/A	63	#N/A	#N/A	N/A	N/A	수원 DC 2차	삼성전자(주)	2018-01-01	2019-12-31	63,206	12,875	50,331	백만원
206	18Q3	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	69	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2019-02-28	69,141	40,434	28,707	백만원
207	18Q3	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	193	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이(주)	2015-05-01	2017-12-31	192,821	186,400	6,421	백만원
208	18Q4	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	87	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2019-02-28	87,231	52,825	34,406	백만원
209	18Q4	삼성물산	수원DC2차	#N/A	삼성물산	#N/A	#N/A	76	#N/A	#N/A	N/A	N/A	수원 DC 2차	삼성전자(주)	2018-01-01	2019-12-31	75,715	49,169	26,546	백만원
210	18Q4	삼성물산	아산DC	#N/A	삼성물산	#N/A	#N/A	193	#N/A	#N/A	N/A	N/A	아산DC	삼성디스플레이(주)	2015-05-01	2017-12-31	192,653	187,578	5,075	백만원
211	19Q1	삼성물산	아산DC2차	#N/A	삼성물산	#N/A	#N/A	90	#N/A	#N/A	N/A	N/A	아산 DC 2차	삼성디스플레이(주)	2017-03-01	2019-02-28	90,332	67,602	22,730	백만원
212	19Q1	삼성물산	수원DC2차	#N/A	삼성물산	#N/A	#N/A	81	#N/A	#N/A	N/A	N/A	수원 DC 2차	삼성전자(주)	2018-01-01	2019-12-31	80,647	69,644	11,003	백만원
